City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Morehead,US,2022-05-05 01:52:37,37.2711,-87.1764,57.94,83,0,0.0
125,Juneau,US,2022-05-05 01:52:38,58.3019,-134.4197,44.98,95,100,18.41
126,Cidreira,BR,2022-05-05 01:52:38,-30.1811,-50.2056,65.97,77,100,12.53
127,Ulladulla,AU,2022-05-05 01:52:39,-35.35,150.4667,68.77,83,94,7.61
128,Port Blair,IN,2022-05-05 01:52:39,11.6667,92.75,78.84,94,75,1.14
129,Corrente,BR,2022-05-05 01:52:40,-3.7367,-43.3394,72.68,98,100,2.75
130,Cap Malheureux,MU,2022-05-05 01:52:40,-19.9842,57.6142,76.46,77,26,7.0
131,Ozark,US,2022-05-05 01:52:41,37.0209,-93.206,54.84,96,100,1.99
132,Bengkulu,ID,2022-05-05 01:44:46,-3.8004,102.2655,81.21,74,79,4.94
133,Henties Bay,NA,2022-05-05 01:45:30,-22.116,14.2845,72.72,40,0,6.44
134,Atar,MR,2022-05-05 01:45:13,20.5169,-13.0499,79.57,20,6,10.27
135,Deputatskiy,RU,2022-05-05 01:52:42,69.3,139.9,23.58,88,98,4.0
136,Ambon,ID,2022-05-05 01:52:42,-3.6954,128.1814,89.74,58,20,4.61
137,Uray,RU,2022-05-05 01:52:43,60.1247,64.7758,40.14,83,100,7.56
138,Homer,US,2022-05-05 01:52:43,59.6425,-151.5483,48.09,73,100,6.91
139,Fortuna,US,2022-05-05 01:52:44,40.5982,-124.1573,55.92,86,40,10.36
140,Zhanaozen,KZ,2022-05-05 01:52:44,43.3,52.8,61.07,31,3,13.65
141,Hasaki,JP,2022-05-05 01:45:39,35.7333,140.8333,77.29,70,100,14.47
142,Tessalit,ML,2022-05-05 01:52:45,20.1986,1.0114,83.16,19,95,8.25
143,Chilchotla,MX,2022-05-05 01:52:46,19.2548,-97.1844,60.42,89,46,3.38
144,Galle,LK,2022-05-05 01:51:03,6.0367,80.217,81.3,83,100,11.97
145,Iskateley,RU,2022-05-05 01:52:46,67.6803,53.1512,12.09,97,69,5.3
146,Arinos,BR,2022-05-05 01:52:47,-15.9169,-46.1056,78.39,43,99,1.61
147,Strezhevoy,RU,2022-05-05 01:52:47,60.7333,77.5889,47.89,57,100,14.43
148,Constitucion,CL,2022-05-05 01:52:48,-35.3333,-72.4167,55.96,78,89,2.24
149,Nurota,UZ,2022-05-05 01:52:48,40.5614,65.6886,69.6,57,90,2.08
150,Barrow,US,2022-05-05 01:44:42,71.2906,-156.7887,15.82,79,100,18.41
151,Vila,PT,2022-05-05 01:52:49,42.0304,-8.1588,45.48,85,55,4.36
152,Saint Anthony,US,2022-05-05 01:50:43,45.0205,-93.218,60.58,49,0,5.75
153,Ust-Tsilma,RU,2022-05-05 01:52:49,65.441,52.1498,25.21,83,47,7.78
154,Coruripe,BR,2022-05-05 01:52:50,-10.1256,-36.1756,77.25,87,45,8.52
155,Portland,US,2022-05-05 01:48:17,45.5234,-122.6762,72.19,58,87,5.01
156,Geraldton,AU,2022-05-05 01:52:51,-28.7667,114.6,68.41,42,0,32.21
157,Quatre Cocos,MU,2022-05-05 01:52:51,-20.2078,57.7625,77.11,82,45,19.37
158,Atlantic Beach,US,2022-05-05 01:52:52,30.3344,-81.3987,80.06,79,0,5.75
159,Tampakan,PH,2022-05-05 01:52:53,6.4442,124.9264,86.29,61,79,1.95
160,Vila Velha,BR,2022-05-05 01:52:53,-20.3297,-40.2925,80.55,84,40,6.91
161,Port Elizabeth,ZA,2022-05-05 01:45:31,-33.918,25.5701,61.11,100,20,2.3
162,Luanda,AO,2022-05-05 01:52:30,-8.8368,13.2343,75.2,94,40,2.3
163,Kieta,PG,2022-05-05 01:50:35,-6.2167,155.6333,86.14,66,28,4.21
164,Khuzdar,PK,2022-05-05 01:52:54,27.7384,66.6434,76.46,26,0,1.1
165,Purpe,RU,2022-05-05 01:52:54,64.4803,76.6897,36.45,93,100,17.56
166,Ust-Omchug,RU,2022-05-05 01:52:55,61.15,149.6333,32.88,92,68,5.08
167,Dingle,PH,2022-05-05 01:52:55,10.9995,122.6711,87.19,64,100,12.77
168,Kapiri Mposhi,ZM,2022-05-05 01:52:56,-13.9652,28.6809,53.47,90,0,4.99
169,Longyearbyen,SJ,2022-05-05 01:52:56,78.2186,15.6401,17.44,67,40,4.61
170,Belmonte,BR,2022-05-05 01:52:57,-15.8631,-38.8828,78.17,86,0,10.36
171,Ouricuri,BR,2022-05-05 01:52:57,-7.8825,-40.0817,70.95,74,93,2.77
172,Ancud,CL,2022-05-05 01:48:13,-41.8697,-73.8203,53.82,98,100,6.35
173,Kamaishi,JP,2022-05-05 01:52:58,39.2667,141.8833,61.63,53,15,6.4
174,Ossora,RU,2022-05-05 01:52:59,59.2353,163.0719,33.01,95,27,3.74
175,Mandalgovi,MN,2022-05-05 01:52:59,45.7625,106.2708,40.23,41,5,31.65
176,San Julian,MX,2022-05-05 01:53:00,21.0167,-102.1667,73.72,17,57,8.1
177,Dunedin,NZ,2022-05-05 01:44:56,-45.8742,170.5036,60.8,69,11,5.01
178,Buin,CL,2022-05-05 01:53:00,-33.7333,-70.75,64.74,59,100,2.13
179,Margate,GB,2022-05-05 01:53:01,51.3813,1.3862,51.87,88,10,4.0
180,Clyde River,CA,2022-05-05 01:51:13,70.4692,-68.5914,21.43,73,100,12.66
181,Souillac,MU,2022-05-05 01:51:12,-20.5167,57.5167,77.38,83,40,12.66
182,Sault Sainte Marie,CA,2022-05-05 01:52:50,46.5168,-84.3333,43.09,64,0,5.75
183,Martapura,ID,2022-05-05 01:53:02,-3.4167,114.85,82.49,78,0,3.44
184,Lompoc,US,2022-05-05 01:53:02,34.6391,-120.4579,75.34,81,0,12.66
185,Saskylakh,RU,2022-05-05 01:45:38,71.9167,114.0833,27.57,90,100,6.58
186,Mount Isa,AU,2022-05-05 01:53:03,-20.7333,139.5,73.17,35,100,21.85
187,Edson,CA,2022-05-05 01:53:04,53.5835,-116.4356,60.94,29,0,11.5
188,Honningsvag,NO,2022-05-05 01:53:04,70.9821,25.9704,22.75,68,96,5.75
189,Bathsheba,BB,2022-05-05 01:53:05,13.2167,-59.5167,79.41,83,40,11.5
190,Guerrero Negro,MX,2022-05-05 01:53:05,27.9769,-114.0611,60.37,77,0,17.4
191,Anadyr,RU,2022-05-05 01:53:05,64.75,177.4833,32.5,74,0,6.71
192,Olafsvik,IS,2022-05-05 01:53:06,64.8945,-23.7142,36.25,61,98,5.55
