City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Puerto Carreno,CO,6.189,-67.4859,89.58,55,40,3.44,scattered clouds
244,Wilmington,US,34.2257,-77.9447,80.51,47,75,17.27,broken clouds
245,Kidal,ML,18.4411,1.4078,96.12,9,72,11.01,broken clouds
246,Palana,RU,59.1167,159.9667,28.02,94,100,40.6,light snow
247,Katsuura,JP,35.1333,140.3,61.93,93,15,6.06,few clouds
248,Vao,NC,-22.6667,167.4833,74.1,62,77,19.3,broken clouds
249,Khatanga,RU,71.9667,102.5,-11.2,100,97,5.35,overcast clouds
250,Quatre Cocos,MU,-20.2078,57.7625,77.09,79,28,14.81,light rain
251,Zapolyarnyy,RU,69.4154,30.8136,36.68,71,33,29.86,scattered clouds
252,Faya,SA,18.3851,42.4509,66.31,41,84,4.63,broken clouds
253,La Ronge,CA,55.1001,-105.2842,61.02,41,75,6.91,broken clouds
254,Bettiah,IN,26.8,84.5,88.74,39,0,7.4,clear sky
255,Manggar,ID,-2.8833,108.2667,80.85,82,100,5.01,overcast clouds
256,Severo-Kurilsk,RU,50.6789,156.125,39.11,90,100,3.24,overcast clouds
257,Ilulissat,GL,69.2167,-51.1,28.42,59,0,6.91,clear sky
258,Dobryatino,RU,55.5055,41.3195,45.37,76,74,6.35,broken clouds
259,Kokkola,FI,63.8385,23.1307,44.76,64,0,4.61,clear sky
260,Salalah,OM,17.0151,54.0924,80.8,80,15,6.13,few clouds
261,Cabra,ES,37.4725,-4.4421,75.65,39,29,1.28,scattered clouds
262,Mega,ET,4.05,38.3,60.8,78,65,6.17,broken clouds
263,Sarandi,BR,-23.4436,-51.8739,72.95,46,20,8.05,few clouds
264,Nouadhibou,MR,20.931,-17.0347,65.19,87,45,23.02,scattered clouds
265,Seoul,KR,37.5683,126.9778,60.37,39,0,8.05,clear sky
266,Santa Maria,BR,-29.6842,-53.8069,67.37,66,0,5.59,clear sky
267,Evanston,US,42.0411,-87.6901,66.42,40,0,14.97,clear sky
268,Awjilah,LY,29.1081,21.2869,78.94,29,100,15.17,overcast clouds
269,Swan River,CA,52.1058,-101.2676,66.97,54,100,2.01,light rain
270,Kingsville,US,27.5159,-97.8561,97.21,48,0,6.91,clear sky
271,Hlotse,LS,-28.8718,28.045,55.42,42,65,4.09,broken clouds
272,Ponta Do Sol,PT,32.6667,-17.1,66.13,68,13,7.27,few clouds
273,Oktyabrskoye,RU,43.0645,44.7417,42.94,93,100,4.47,mist
274,Nueva Concepcion,GT,14.2,-91.3,92.88,50,56,9.66,broken clouds
275,Liverpool,GB,53.4106,-2.9779,60.15,74,20,5.75,few clouds
276,Sinnai,IT,39.3042,9.2036,58.48,84,75,4.61,broken clouds
277,Danielskuil,ZA,-28.1887,23.5395,51.94,64,9,13.29,clear sky
278,Berlevag,NO,70.8578,29.0864,37.35,81,100,26.46,overcast clouds
279,Sioux Falls,US,43.55,-96.7003,73.26,51,40,24.16,scattered clouds
280,Provideniya,RU,64.3833,-173.3,31.75,90,100,7.4,overcast clouds
281,Razdolinsk,RU,58.4211,94.6658,29.61,60,98,16.75,overcast clouds
282,Wadena,US,46.4425,-95.1361,71.35,35,0,27.63,clear sky
283,Clyde River,CA,70.4692,-68.5914,19.63,86,100,3.44,overcast clouds
284,Waingapu,ID,-9.6567,120.2641,78.76,87,30,9.73,scattered clouds
285,Pasighat,IN,28.0667,95.3333,74.53,75,33,3.65,scattered clouds
286,San Quintin,MX,30.4833,-115.95,65.43,71,10,12.24,clear sky
287,Touros,BR,-5.1989,-35.4608,76.35,86,100,13.15,moderate rain
288,Edson,CA,53.5835,-116.4356,50.14,40,75,18.41,broken clouds
289,Taltal,CL,-25.4,-70.4833,61.74,81,65,4.09,broken clouds
290,Te Anau,NZ,-45.4167,167.7167,56.08,98,100,2.68,light rain
291,Deep River,CA,46.1001,-77.4995,57.94,23,6,7.74,clear sky
292,Storforshei,NO,66.4043,14.5233,33.66,92,100,4.61,light snow
293,Whitianga,NZ,-36.8333,175.7,54.77,81,99,3.91,overcast clouds
294,Lunenburg,CA,44.3835,-64.3155,54.48,69,100,14.97,overcast clouds
295,Quelimane,MZ,-17.8786,36.8883,73.35,83,20,5.75,few clouds
296,Bud,US,39.447,-86.1758,68.14,56,100,13.44,overcast clouds
297,Hanzhong,CN,33.0728,107.0303,63.61,77,0,3.58,clear sky
298,Vikulovo,RU,56.8167,70.6107,42.75,62,100,6.53,overcast clouds
299,Tiruvalla,IN,9.3833,76.5667,79.16,93,34,2.57,scattered clouds
300,Pisco,PE,-13.7,-76.2167,68.05,83,0,14.97,clear sky
301,Acurenam,GQ,1.0322,10.6488,69.78,96,100,1.07,light rain
302,Makakilo City,US,21.3469,-158.0858,75.56,65,100,11.5,overcast clouds
303,Jardim,BR,-21.4803,-56.1381,82.29,36,5,5.35,clear sky
304,Ilhabela,BR,-23.7781,-45.3581,71.71,65,98,4.81,overcast clouds
305,Betera,ES,39.5833,-0.45,67.98,61,0,5.75,clear sky
306,Naze,JP,28.3667,129.4833,70.72,83,100,5.46,overcast clouds
307,Rawlins,US,41.7911,-107.2387,49.89,46,100,28.77,overcast clouds
308,Maniitsoq,GL,65.4167,-52.9,32.67,73,8,11.07,clear sky
309,Mehamn,NO,71.0357,27.8492,37.31,96,100,34.31,light rain
310,Adrar,MR,20.5022,-10.0711,93.76,13,12,5.64,few clouds
311,Port Macquarie,AU,-31.4333,152.9167,49.89,68,78,6.76,broken clouds
312,Ullapool,GB,57.8987,-5.1604,56.35,65,88,2.64,overcast clouds
313,Yangjiang,CN,21.85,111.9667,71.83,90,98,5.64,overcast clouds
314,Sabha,LY,27.0377,14.4283,80.67,20,0,8.01,clear sky
315,Vila Do Maio,CV,15.1333,-23.2167,75.99,83,20,20.67,few clouds
316,Uberlandia,BR,-18.9186,-48.2772,85.21,39,40,10.36,scattered clouds
317,Neepawa,CA,50.2289,-99.4664,64.8,51,100,20.71,overcast clouds
318,La Paz,BO,-16.5,-68.15,62.58,36,20,8.05,few clouds
319,Tucupita,VE,9.0622,-62.051,90.64,47,97,5.88,overcast clouds
320,Redmond,US,47.674,-122.1215,57.0,78,87,8.99,overcast clouds
321,Taldan,RU,53.6667,124.8,31.77,57,0,1.45,clear sky
322,Black River,JM,18.0264,-77.8487,83.64,70,12,14.81,few clouds
323,Puerto Maldonado,PE,-12.6,-69.1833,84.6,51,75,3.44,broken clouds
324,Groningen,NL,53.25,6.75,54.12,79,100,9.22,overcast clouds
325,Husavik,IS,66.0449,-17.3389,41.9,70,100,2.93,overcast clouds
326,Ahipara,NZ,-35.1667,173.1667,55.44,87,6,3.74,clear sky
327,Phuket,TH,8.0,98.25,88.09,94,20,5.75,few clouds
328,Tura,IN,25.5198,90.2201,72.99,79,0,3.22,clear sky
329,Djibo,BF,14.1022,-1.6306,98.56,14,87,8.41,overcast clouds
330,Hegang,CN,47.4,130.3667,35.87,72,0,6.91,clear sky
331,Paamiut,GL,61.994,-49.6678,34.2,86,82,13.06,broken clouds
332,Jishou,CN,28.3167,109.7167,68.38,96,100,2.15,overcast clouds
333,Pangnirtung,CA,66.1451,-65.7125,15.8,86,75,4.61,broken clouds
334,Nhulunbuy,AU,-12.2333,136.7667,81.21,78,75,11.5,broken clouds
335,Mecca,SA,21.4267,39.8261,79.66,43,0,8.68,clear sky
336,Marshall,US,34.3834,-86.3333,64.45,71,100,8.05,overcast clouds
337,Namatanai,PG,-3.6667,152.4333,79.2,84,52,8.01,broken clouds
338,Lancaster,US,40.2504,-76.2499,47.93,92,100,19.57,light rain
339,Bow Island,CA,49.8668,-111.3684,57.47,50,100,3.44,overcast clouds
340,Huilong,CN,31.8111,121.655,61.93,78,99,9.26,overcast clouds
341,Abdanan,IR,32.9926,47.4198,63.61,32,90,4.76,overcast clouds
342,Batsfjord,NO,70.6345,29.7185,37.33,80,100,54.09,squalls
343,Mozarlandia,BR,-14.7447,-50.5706,90.55,43,99,5.12,overcast clouds
344,Klaksvik,FO,62.2266,-6.589,47.32,69,100,2.86,overcast clouds
345,Santo Angelo,BR,-28.2992,-54.2631,70.12,68,0,5.75,clear sky
346,Kathu,TH,7.9178,98.3332,87.69,99,100,8.52,overcast clouds
347,Saint-Augustin,CA,51.226,-58.6502,40.89,45,100,15.12,overcast clouds
